What is the largest desert in the world?;Sahara;Gobi;Arctic;Antarctic;Antarctic
Who wrote "To Kill a Mockingbird"?;Lee;Hemingway;Orwell;Fitzgerald;Lee
What is the boiling point of water in Fahrenheit?;200;212;220;230;212
Who is known as the Iron Lady?;Thatcher;Merkel;Meir;Gandhi;Thatcher
What is the smallest planet in our solar system?;Earth;Mars;Mercury;Venus;Mercury
Who discovered America?;Columbus;Vespucci;Magellan;Cabot;Columbus
What is the main ingredient in glass?;Sand;Clay;Limestone;Gravel;Sand
Who painted the ceiling of the Sistine Chapel?;Da Vinci;Raphael;Michelangelo;Donatello;Michelangelo
What is the square root of 144?;10;11;12;13;12
What is the capital of Brazil?;Rio de Janeiro;Sao Paulo;Brasilia;Salvador;Brasilia
