What is the speed of light?;300,000 km/s;150,000 km/s;200,000 km/s;100,000 km/s;300,000 km/s
Who discovered penicillin?;Newton;Einstein;Fleming;Curie;Fleming
What is the hardest natural substance?;Gold;Iron;Diamond;Silver;Diamond
What is the chemical symbol for gold?;Au;Ag;Fe;Pb;Au
Which element has the highest melting point?;Iron;Carbon;Tungsten;Platinum;Tungsten
Who is known as the father of computers?;Turing;Jobs;Gates;Babbage;Babbage
What is the most abundant gas in the Earth's atmosphere?;Oxygen;Carbon Dioxide;Nitrogen;Helium;Nitrogen
What is the longest river in the world?;Nile;Amazon;Yangtze;Mississippi;Nile
What is the capital city of Australia?;Sydney;Melbourne;Canberra;Brisbane;Canberra
Who developed the theory of relativity?;Newton;Einstein;Galileo;Tesla;Einstein
